
FUTRE-CMP-86.5 0UP 5% on 25/09/2020


15-Oct-2020	TATMOT	Buy	NSE	36	130.000
15-Oct-2020	BHAELE	Buy	NSE	50	88.200
15-Oct-2020	PVRLIM	Buy	NSE	4	1202.000
15-Oct-2020	TECMAH	Buy	NSE	7	816.000
15-Oct-2020	WIPRO	Buy	NSE	14	340.000

14-Oct-2020	KECIN	Buy	NSE	15	326.000
14-Oct-2020	GLEPHA	Buy	NSE	10	472.000
14-Oct-2020	SBICAR	Sell	NSE	6	882.000


13-Oct-2020	POWFIN	Buy	NSE	55	84.200
13-Oct-2020	CHOINV	Buy	NSE	20	242.000
13-Oct-2020	INDHO	Buy	NSE	30	146.000

09-Oct-2020	HAVIND	Sell	NSE	8	705.000
09-Oct-2020	HDFC	Sell	NSE	3	2016.000
09-Oct-2020	STABAN	Sell	NSE	26	198.000
09-Oct-2020	AXIBAN	Sell	NSE	11	465.000

08-Oct-2020	BHAELE	Buy	NSE	55	93.500
08-Oct-2020	SHRCIT	Buy	NSE	5	871.350
08-Oct-2020	HDFBAN	Sell	NSE	5	1180.000
08-Oct-2020	INFTEC	Sell	NSE	5	1090.000
08-Oct-2020	INFTEC	Sell	NSE	5	1096.000

07-Oct-2020	HINZIN	Buy	NSE	20	212.000
07-Oct-2020	SHRTRA	Buy	NSE	7	632.000
07-Oct-2020	HINZIN	Buy	NSE	24	212.000
07-Oct-2020	VEDLIM	Buy	NSE	40	130.000
07-Oct-2020	TATMOT	Buy	NSE	34	140.000
07-Oct-2020	RELIND	Sell	NSE	2	2300.000
07-Oct-2020	RELIND	Sell	NSE	3	2302.000

06-Oct-2020	RURELE	Buy	NSE	45	100.000
06-Oct-2020	TCS	Sell	NSE	2	2716.000
06-Oct-2020	INTAVI	Sell	NSE	4	1334.000
06-Oct-2020	MAXFIN	Sell	NSE	10	626.000

05-Oct-2020	GODCON	Sell	NSE	7	756.000
05-Oct-2020	AURPHA	Sell	NSE	6	842.000
05-Oct-2020	WIPRO	Sell	NSE	16	328.000
05-Oct-2020	ICIBAN	Sell	NSE	14	382.000

01-Oct-2020	TECMAH	Sell	NSE	7	802.000

30-Sep-2020	TATSTE	Buy	NSE	13	358.000

29-Sep-2020	GODCON	Sell	NSE	7	726.000
29-Sep-2020	HDFAMC	Sell	NSE	2	2312.000
29-Sep-2020	KECIN	Sell	NSE	15	346.000
29-Sep-2020	ONGC	Buy	NSE	70	69.200

28-Sep-2020	GODCON	Sell	NSE	7	721.000
28-Sep-2020	PVRLIM	Sell	NSE	5	1163.350

25-Sep-2020	UNIP	Buy	NSE	10	502.000
25-Sep-2020	VEDLIM	Sell	NSE	35	136.000

24-Sep-2020	MAHMAH	Buy	NSE	8	578.000
24-Sep-2020	TCS	Buy	NSE	2	2362.000
24-Sep-2020	INFTEC	Buy	NSE	5	986.000
24-Sep-2020	HDFAMC	Buy	NSE	2	2102.000
24-Sep-2020	ITC	Buy	NSE	28	169.000
24-Sep-2020	INFTEC	Buy	NSE	5	972.000
24-Sep-2020	AURPHA	Buy	NSE	6	762.000
24-Sep-2020	KECIN	Buy	NSE	15	300.000
24-Sep-2020	STABAN	Buy	NSE	26	178.000

23-Sep-2020	ICIBAN	Buy	NSE	14	350.000
23-Sep-2020	SHRTRA	Buy	NSE	8	612.000
23-Sep-2020	BAJFI	Buy	NSE	2	3202.000
23-Sep-2020	NTPC	Buy	NSE	58	85.200

22-Sep-2020	AXIBAN	Buy	NSE	11	415.000
22-Sep-2020	LARTOU	Buy	NSE	6	852.000
22-Sep-2020	JUBLIF	Buy	NSE	7	732.000
22-Sep-2020	PVRLIM	Buy	NSE	5	1052.000
22-Sep-2020	TCS	Sell	NSE	4	2536.000

21-Sep-2020	CYILIM	Sell	NSE	12	438.000
21-Sep-2020	LUPIN	Buy	NSE	5	1042.000
21-Sep-2020	MAHMAH	Buy	NSE	8	624.000
21-Sep-2020	SBICAR	Buy	NSE	6	816.000
21-Sep-2020	CYILIM	Buy	NSE	12	402.000
21-Sep-2020	ASHLEY	Buy	NSE	70	75.000
21-Sep-2020	STETEC	Buy	NSE	32	148.000
21-Sep-2020	ZEEENT	Buy	NSE	25	210.000
21-Sep-2020	MAHFIN	Buy	NSE	40	128.000
21-Sep-2020	MOTSUM	Buy	NSE	45	116.000
21-Sep-2020	JSWSTE	Buy	NSE	19	272.000
21-Sep-2020	BHAELE	Buy	NSE	50	100.000
21-Sep-2020	ALEPHA	Buy	NSE	6	926.000
21-Sep-2020	INDBA	Buy	NSE	8	592.000
21-Sep-2020	JINSP	Buy	NSE	27	196.000
21-Sep-2020	TATMOT	Buy	NSE	37	140.000

18-Sep-2020	INDHO	Buy	NSE	25	180.000
18-Sep-2020	DILBUI	Buy	NSE	13	370.000
18-Sep-2020	LUPIN	Sell	NSE	6	1092.000
